+ voo BA95 removido
+ voo LR2343 removido
+ voo TJ427 removido
+ voo KE76 removido
+ voo IG30 removido
+ voo BA95 inexistente
====== ==== ==== ===== =====
AM7364 PUS  OAJ  09:36 22:36
RS585  OAJ  JGRU 23:49 05:10
DT95   JGRU FCR  07:06 17:41
AF80   FCR  IEN  18:31 17:06
YT3914 IEN  FULS 14:38 00:49
KJ98   FULS UOQH 02:10 08:57
VB747  UOQH LUV  11:06 01:14
AL39   LUV  VEJ  17:59 10:05
Tempo de viagem: 6900 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
MI2    DYH  RCEU 05:07 14:32
AQ9713 RCEU NMT  03:19 14:27
DF7586 NMT  ISEJ 22:55 16:11
CF344  ISEJ QXM  19:18 22:22
NY4613 QXM  LESO 00:38 16:55
FG9    LESO DZA  21:14 15:58
Tempo de viagem: 7210 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
LS5191 CFN  BRIK 18:01 03:31
IM76   BRIK QTL  06:40 05:03
MI5723 QTL  SVU  04:11 19:42
Tempo de viagem: 3700 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
QV868  DUS  QFJD 20:05 20:44
HA95   QFJD WUO  21:41 20:40
JH69   WUO  GKAI 15:44 16:44
KN8571 GKAI AUHD 17:14 22:30
SQ340  AUHD FTV  07:26 22:59
IT889  FTV  LCXW 13:26 06:37
DM77   LCXW ISEJ 07:28 17:50
TA3635 ISEJ XTT  22:12 19:20
Tempo de viagem: 7487 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
ZP6878 LUV  SFJU 02:45 18:38
DJ9350 SFJU AYCC 05:06 09:39
EX587  AYCC HJQ  15:52 02:46
KO565  HJQ  AGVG 09:01 06:04
XQ925  AGVG RBN  02:24 18:42
AK2228 RBN  USXA 23:47 11:42
Tempo de viagem: 6822 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
BO12   IYNQ SBB  08:52 01:31
LW86   SBB  DLD  08:23 00:23
EV354  DLD  KEZX 05:14 09:15
QP4974 KEZX RSDX 14:13 12:00
EZ69   RSDX CCD  00:42 20:58
SL484  CCD  HVG  23:57 19:33
BN710  HVG  VRUF 21:42 05:49
Tempo de viagem: 8481 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
YS85   COW  RBS  23:05 22:34
SG7808 RBS  CVJK 03:16 05:44
NB42   CVJK TMHA 08:18 02:25
UW6980 TMHA YPY  20:34 03:49
KW72   YPY  UJJJ 05:43 10:43
QM6256 UJJJ BEVS 19:16 14:01
Tempo de viagem: 6693 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
MJ113  KTLF BEU  22:00 03:12
IH160  BEU  QUTM 09:20 06:42
DT8834 QUTM HKZ  05:38 09:26
NS254  HKZ  IRM  17:12 01:34
RE41   IRM  RJPL 07:25 20:40
SO85   RJPL ZXWJ 00:08 06:17
Tempo de viagem: 7413 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
VI4    GGAC LZV  03:41 15:33
KW4510 LZV  KEB  02:13 05:13
WI2647 KEB  NJM  09:22 22:32
AI582  NJM  TFDS 04:27 15:20
UJ2252 TFDS ZSRS 09:51 20:21
AU64   ZSRS FPHQ 23:00 08:11
AX80   FPHQ ULWN 08:07 11:41
Tempo de viagem: 8827 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
LV4042 SCEY AZX  19:02 17:38
UX31   AZX  SMW  14:45 00:04
NF45   SMW  VYCZ 10:55 16:56
MA8911 VYCZ LSR  02:51 06:35
OH804  LSR  AAYE 09:25 15:40
Tempo de viagem: 7335 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
QC424  GMT  GKO  09:31 19:56
BT757  GKO  LKXP 15:02 10:54
SR678  LKXP LOLK 17:38 21:40
MV54   LOLK QMLZ 14:39 15:02
BM737  QMLZ YUFU 16:08 15:20
MX71   YUFU AIC  23:05 10:51
Tempo de viagem: 6065 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
RH6    LEAB HAY  08:52 22:05
TD3    HAY  XAQJ 01:17 08:45
JD90   XAQJ YZAA 13:51 23:24
Tempo de viagem: 4015 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
AS45   FRW  LVKO 13:58 13:52
WM500  LVKO ZNPY 16:18 11:19
UD168  ZNPY LQP  11:57 17:22
MQ82   LQP  ICQ  22:13 14:53
LC5929 ICQ  USQ  07:26 07:23
NX9416 USQ  YAV  21:08 21:09
Tempo de viagem: 6172 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
TP9    MVH  ASYC 01:01 08:59
EC3839 ASYC QAE  21:02 10:37
XG1839 QAE  IGUV 23:58 00:36
HC5650 IGUV KMS  02:33 08:08
Tempo de viagem: 5897 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
YA6669 RTNU VEGV 16:39 10:11
DB396  VEGV IUG  12:21 22:32
AN572  IUG  NOB  02:22 15:41
BF1002 NOB  XVD  03:24 04:51
EC669  XVD  PBR  07:07 19:29
KS8128 PBR  BVP  01:26 23:01
ZW42   BVP  BJV  23:45 22:40
KS5180 BJV  ZFKC 04:14 20:21
BN8284 ZFKC ZEV  13:39 10:49
Tempo de viagem: 8291 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
ZT392  DCMM WRSO 17:01 23:20
CI12   WRSO KUN  04:56 00:07
MO32   KUN  QSX  16:13 18:53
CI4410 QSX  VSC  20:12 18:15
DI75   VSC  ZSMC 06:39 17:37
GC4312 ZSMC QHHE 21:09 19:14
PI53   QHHE XAC  02:04 09:21
LJ56   XAC  KTX  10:25 05:42
LO1520 KTX  CIRI 07:13 09:43
Tempo de viagem: 7067 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
JO1152 OIJ  FRV  01:42 17:37
YA9133 FRV  SEGA 03:16 23:06
QU39   SEGA WXB  02:29 02:12
RO28   WXB  SZK  08:56 05:13
WR3315 SZK  RZY  07:42 00:09
PC6    RZY  WGW  12:56 11:00
KP3589 WGW  DRXH 00:58 12:52
Tempo de viagem: 7308 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
UZ988  WWW  URRY 04:53 07:11
LH6    URRY XZMN 20:49 18:06
SO543  XZMN OMXY 04:00 11:18
TZ902  OMXY FIL  18:14 22:51
RT533  FIL  FEYD 15:37 21:44
NR907  FEYD LYSX 06:29 22:21
CU307  LYSX LYP  00:15 07:38
Tempo de viagem: 8155 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
LS5561 XJL  GHM  08:52 08:32
UP80   GHM  GNUG 09:27 16:37
DJ2460 GNUG DYFK 20:37 17:33
LO1546 DYFK AXPO 03:52 02:20
BY84   AXPO YHYM 18:30 21:02
SC13   YHYM HHS  09:24 14:45
YA3087 HHS  MFWT 04:11 02:51
KW3736 MFWT IXK  10:54 15:30
IB64   IXK  EZRH 17:20 16:20
Tempo de viagem: 7252 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
ED9961 VGU  BIYQ 19:35 06:06
NV1005 BIYQ XRU  13:07 23:47
YT93   XRU  IGTO 05:35 19:33
UF68   IGTO TAH  05:41 10:43
RH60   TAH  WFYS 21:20 03:15
KP60   WFYS SMJC 20:59 21:02
GF3577 SMJC QRE  07:54 01:50
Tempo de viagem: 7666 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
AE9    PKM  EVJD 16:14 21:17
KN7313 EVJD UMR  15:06 05:09
FJ4    UMR  NBM  11:24 16:04
DI86   NBM  MHE  09:51 06:29
GS9790 MHE  UKBS 09:08 09:42
OM92   UKBS ZLZ  18:41 17:55
WT52   ZLZ  VCX  21:55 13:12
XL9886 VCX  KPBI 16:01 09:51
GL55   KPBI BIBG 20:08 01:21
Tempo de viagem: 7511 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
TI64   TFH  DSIG 17:42 12:26
OT957  DSIG TFEB 15:31 04:58
CZ362  TFEB SAIM 15:17 01:31
CP105  SAIM KHBK 10:53 00:22
QN1779 KHBK UKBS 05:11 18:08
WW4953 UKBS YNIP 00:01 22:53
Tempo de viagem: 6377 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
DY599  LDE  JYSB 21:40 11:43
TJ27   JYSB ZFOL 15:58 06:20
AL9266 ZFOL KNV  22:33 01:55
GJ502  KNV  BLVK 19:15 08:21
BG8    BLVK KJKK 15:12 22:05
Tempo de viagem: 5283 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
DR241  GFN  SVU  00:44 04:26
ZU24   SVU  TOF  09:33 19:15
TH972  TOF  XOGT 04:41 03:06
XY7264 XOGT XFKY 04:19 13:04
Tempo de viagem: 6458 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
BW95   SFJ  BFE  13:53 20:55
KX50   BFE  SIE  12:34 23:45
XM308  SIE  ICP  08:00 15:34
DF6479 ICP  BTC  16:59 15:59
BC397  BTC  VSE  01:43 21:47
Tempo de viagem: 5611 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
UG16   AKB  ZLYB 18:57 17:32
ZG3526 ZLYB EXN  02:18 11:51
RJ97   EXN  IKGV 14:07 02:54
OK17   IKGV GBM  19:37 03:28
CX8    GBM  DEDN 05:58 15:01
EA8876 DEDN UFM  14:27 18:06
TJ304  UFM  DTYV 05:30 15:12
Tempo de viagem: 7414 minutos
